,brand,name,bodytype,color,fueltype,year,mileage,transmission,power,price,power_average,price_average,year_average,branding,Color,trms,fuel,power_avrg_brand,price_avrg_brand,luxury
32,Honda,Stepwgn,Минивэн,Серый,Бензин,2013,125000,Вариатор,150,1545000,149.0,1503000,2013.0,Other,gray,2,1,124,902137,1.8033586611404546
33,Mercedes-Benz,C-Class,Универсал,Бордовый,Бензин,2005,284000,АКПП,231,380000,170.0,1423221,2007.0,Mercedes,red,2,1,244,3895624,5.930234501970924
34,Daewoo,Nexia,Седан,Белый,Бензин,2005,218000,Механика,109,190000,88.0,190445,2005.0,Other,gray,1,1,76,203602,0.7129274778710997
35,BMW,7-Series,Седан,Черный,Бензин,2006,247000,АКПП,367,790000,319.0,3245854,2006.0,BMW,blue,2,1,241,3422132,5.379293645796605
36,SsangYong,Musso,Джип 5 дв.,Белый,Бензин,1996,400000,АКПП,218,349000,119.0,347759,1996.0,Other,gray,2,1,150,875276,1.9388500577965462
37,Honda,Freed Spike,Минивэн,Серебристый,Бензин,2014,99000,Вариатор,118,999000,106.0,920683,2011.0,Other,gray,2,1,124,902137,1.8033586611404546
38,ГАЗ,31029 Волга,Седан,Серый,Бензин,1992,90000,Механика,90,55000,94.0,93537,1992.0,ГАЗ,orange,1,1,107,240077,0.9514158596118298
39,Kia,Sorento,Джип 5 дв.,Черный,Дизель,2014,292000,АКПП,170,900000,187.0,2725290,2014.0,Other,gray,2,2,147,1907337,3.0789458051954295
40,Honda,Civic,Седан,Белый,Бензин,2005,135000,Автомат,90,375000,130.0,652120,2005.0,Other,gray,2,1,124,902137,1.8033586611404546
41,Москвич,3,Джип 5 дв.,Белый,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
42,Москвич,3,Джип 5 дв.,Голубой,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
43,Москвич,3,Джип 5 дв.,Белый,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
44,Москвич,3,Джип 5 дв.,Красный,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
45,Москвич,3,Джип 5 дв.,Серый,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
46,Москвич,3,Джип 5 дв.,Голубой,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
47,Suzuki,Ignis,Хэтчбек 5 дв.,Серебристый,Бензин,2006,150000,АКПП,99,555000,91.0,782558,2013.0,Other,gray,2,1,102,803302,1.5521719708123631
48,Mitsubishi,Lancer,Седан,Синий,Бензин,2005,300000,Механика,98,305000,112.0,470884,2005.0,Other,gray,1,1,144,1260767,2.3336037998930204
49,Mitsubishi,Lancer,Седан,Синий,Бензин,2005,300000,Механика,98,365000,112.0,470884,2005.0,Other,gray,1,1,144,1260767,2.3336037998930204
50,Suzuki,Ignis,Хэтчбек 5 дв.,Серебристый,Бензин,2006,150000,АКПП,99,500000,91.0,782558,2013.0,Other,gray,2,1,102,803302,1.5521719708123631
51,Renault,Scenic,Хэтчбек 5 дв.,Белый,Дизель,2004,164000,Механика,110,1290000,113.0,654412,2004.0,Other,gray,1,2,108,980836,1.7898077119999733
52,Mercedes-Benz,C-Class,Седан,Бежевый,Бензин,2011,5000,АКПП,156,1300000,170.0,1423221,2007.0,Mercedes,red,2,1,244,3895624,5.930234501970924
53,Renault,Scenic,Хэтчбек 5 дв.,Белый,Дизель,2004,164000,Механика,110,1250000,113.0,654412,2004.0,Other,gray,1,2,108,980836,1.7898077119999733
54,EXEED,VX,Джип 5 дв.,Черный,Бензин,2021,0,Робот,249,5249900,249.0,5180187,2021.0,Other,gray,2,1,190,4131198,5.850764606715805
55,EXEED,VX,Джип 5 дв.,Зеленый,Бензин,2022,0,Робот,249,5649900,249.0,5180187,2021.0,Other,gray,2,1,190,4131198,5.850764606715805
56,EXEED,VX,Джип 5 дв.,Белый,Бензин,2021,0,Робот,249,5249900,249.0,5180187,2021.0,Other,gray,2,1,190,4131198,5.850764606715805
57,Renault,Scenic,Хэтчбек 5 дв.,Белый,Дизель,2004,164000,Механика,110,1198000,113.0,654412,2004.0,Other,gray,1,2,108,980836,1.7898077119999733
58,BMW,3-Series,Седан,Синий,Бензин,1993,418000,Механика,102,320000,169.0,1467144,2005.0,BMW,blue,1,1,241,3422132,5.379293645796605
59,Honda,Fit,Хэтчбек 5 дв.,Белый,Бензин,2011,250000,Вариатор,86,400000,100.0,764819,2011.0,Other,gray,2,1,124,902137,1.8033586611404546
60,Honda,N-WGN,Хэтчбек 5 дв.,Белый,Бензин,2013,89000,Вариатор,58,695000,59.0,687765,2014.0,Other,gray,2,1,124,902137,1.8033586611404546
61,Honda,N-WGN,Хэтчбек 5 дв.,Белый,Бензин,2013,89000,Вариатор,58,720000,59.0,687765,2014.0,Other,gray,2,1,124,902137,1.8033586611404546
62,BMW,3-Series,Седан,Синий,Бензин,1993,418000,Механика,102,300000,169.0,1467144,2005.0,BMW,blue,1,1,241,3422132,5.379293645796605
63,Honda,N-WGN,Хэтчбек 5 дв.,Белый,Бензин,2013,89000,Вариатор,58,680000,59.0,687765,2014.0,Other,gray,2,1,124,902137,1.8033586611404546
64,BMW,3-Series,Седан,Синий,Бензин,1993,418000,Механика,102,250000,169.0,1467144,2005.0,BMW,blue,1,1,241,3422132,5.379293645796605
65,Honda,N-WGN,Хэтчбек 5 дв.,Белый,Бензин,2013,89000,Вариатор,58,650000,59.0,687765,2014.0,Other,gray,2,1,124,902137,1.8033586611404546
